Month,Active Players,New Players,Proposals,Names
2010-06,27,5,89,"ais523, Aquafraternally Yours, Bucky, dbdougla, Freezerbird, Galdyn, h2g2guy, Hix, Ienpw III, Josh, Jumblin McGrumblin, Keba, Kevan, Klisz, Kyre, lilomar, Narya, Nic, omd, Purplebeard, Put, Qwazukee, Rodney, scshunt, spikebrennan, Wooble, zebronic"
2010-07,29,4,126,"90000, ais523, Anonyman, Brownie, Bucky, Darknight, Dazz, dbdougla, flurie, Galdyn, glopso, h2g2guy, Ienpw III, Josh, Keba, Kevan, Klisz, Kyre, lilomar, Narya, omd, Princerepulsive, Purplebeard, Put, Qwazukee, Rodney, scshunt, spikebrennan, Wakukee"
2010-08,27,3,121,"75th Trombone, aeromark98, ais523, Bucky, Clucky, Darknight, flurie, Galdyn, glopso, Hix, Ienpw III, jmrdex, Josh, Jumblin McGrumblin, Keba, Kevan, Klisz, Kyre, lilomar, parsley, Princerepulsive, Purplebeard, Qwazukee, scshunt, spikebrennan, Spitemaster, Wakukee"
2010-09,17,3,41,"ais523, Brendan, Brownie, Bucky, EvilToaster, flurie, glopso, Josh, Kevan, Klisz, lilomar, Maximus, Qwazukee, Roujo, scshunt, Thane Q, Wakukee"
2010-10,19,6,70,"ais523, Amnistar, Anonyman, Blacky, Brendan, Bucky, Darknight, FuzzyLogic, Ienpw III, Josh, Kevan, lilomar, Mosby, Purplebeard, Roujo, Sysiphus, Thane Q, Ujalu, the unnecessary., undef"
2010-11,34,12,121,"Alecto, Ambisinister, Blacky, Brendan, Bucky, Clarinet, Clucky, Darknight, FuzzyLogic, glopso, Greytyphoon, h2g2guy, Ienpw III, Ironwrench, Josh, Kau, Kevan, Klisz, lilomar, Loen, lordcooper, macgeorge, Purplebeard, Richard, Roujo, SethOcean, spikebrennan, Subrincinator, Thane Q, The Lone Amigo, Tuzgai, Ujalu, the unnecessary., undef, William"
2010-12,24,4,68,"Alecto, Blacky, Brendan, Bucky, Clarinet, Clucky, FuzzyLogic, Greytyphoon, Hyronious, Ienpw III, iqforu, JoeFish, Josh, Kevan, Klisz, Purplebeard, Put, Roujo, scshunt, SethOcean, Stormshade, Subrincinator, Thane Q, Thelas"
2011-01,21,3,65,"Ambisinister, Blacky, Bucky, Chivalrybean, Clucky, Darknight, dev, Ely, iqforu, Josh, Kevan, Klisz, macgeorge, Oze, Purplebeard, Roujo, spikebrennan, Subrincinator, Wakukee, William, Winner"
2011-02,26,8,52,"ais523, Aleron, Antaeus, Badgerigar, Blacky, Brownie, Bucky, Chivalrybean, Ely, Geoff, Josh, Kevan, Klisz, Madalyn, Princerepulsive, Purplebeard, Rodlen, Roujo, Saakara, spikebrennan, Subrincinator, Token, udqbpn, WhenInRome, William, Winner"
2011-03,23,2,62,"ais523, Antaeus, Badgerigar, Blacky, Bucky, Chivalrybean, Darknight, Ely, Florw, glopso, Josh, Kevan, Klisz, lilomar, Purplebeard, Roujo, Subrincinator, Travis, udqbpn, Ujalu, the unnecessary., WildCard, William, Winner"
2011-04,26,3,133,"ais523, Axmann, Brownie, Bucky, Chivalrybean, Darknight, Ely, Florw, Ienpw III, imreading, Josh, Kevan, Klisz, lilomar, nowhereful, Oze, Purplebeard, Quazie, scshunt, spikebrennan, Subrincinator, Tiberias, Travis, udqbpn, WildCard, Winner"
2011-05,26,6,97,"aguydude, ais523, Bento, Bucky, Crumb, Darknight, Doctor29, Ely, Galtori, Hix, Ienpw III, Josh, Keba, Kevan, Klisz, Purplebeard, qwertyu63, Roujo, scshunt, SingularByte, spikebrennan, Subrincinator, Travis, udqbpn, Winner, Yoda"
2011-06,16,2,91,"aguydude, ais523, Bucky, Doctor29, Ely, Florw, Ienpw III, Josh, mideg, Purplebeard, scshunt, SingularByte, Stelpa, udqbpn, Winner, Yoda"
2011-07,19,1,93,"aguydude, ais523, Anonyman, Blacky, Bucky, Doctor29, Ely, Galtori, Ienpw III, Josh, Kevan, mideg, Prince Anduril, Purplebeard, scshunt, Subrincinator, Wakukee, Winner, Yoda"
2011-08,17,4,50,"Amnistar, Andy, Anonyman, bateleur, Blacky, Bucky, coolchris, Darkside, Doctor29, Ely, Ienpw III, Josh, Kevan, Prince Anduril, scshunt, Tiger, Winner"
2011-09,20,4,69,"ais523, banyan, bateleur, Blacky, Bucky, Darknight, Ely, Florw, Ienpw III, Jesus, Josh, Kevan, Klisz, omd, Prince Anduril, scshunt, Soviet Brendon, Ujalu, the unnecessary., villainod, Wooble"
2011-10,58,16,123,"ais523, Amnistar, Aquafraternally Yours, arthexis, banyan, bateleur, Blacky, Blorg, Brendan, Bucky, ChronosPhaenon, Clucky, CWW, Darknight, digibomber, Doctor29, dupdog, eelpout, Elias IX, Ely, flurie, Ienpw III, Josh, Kevan, Klisz, lass, lazerchik, Libby, lilomar, monqy, Moriarty, Murphy, omd, Ornithopter, Pavitra, Phantom Hoover, pikhq, Prince Anduril, Purplebeard, Qwazukee, rebelyellow, Rodney, Roujo, Schrodinger's Cat, scshunt, Seventy-Fifth Trombone, Sgeo, Shadowclaw, SingularByte, southpointingchariot, Soviet Brendon, Spitemaster, Tiger, Wakukee, Winner, Wooble, Yally, zuff"
2011-11,24,2,107,"ais523, Aquafraternally Yours, arthexis, Bucky, ChronosPhaenon, Clucky, Cpt_Koen, eelpout, flurie, Ienpw III, Josh, Kevan, Klisz, lazerchik, Murphy, omd, Ornithopter, Pavitra, PBURNS, Prince Anduril, scshunt, southpointingchariot, Soviet Brendon, Spitemaster"
2011-12,12,1,31,"ais523, Bucky, ChronosPhaenon, Clucky, Cpt_Koen, Josh, Pavitra, Prince Anduril, scshunt, Soviet Brendon, Spitemaster, TheMerovingian"
2012-01,19,1,43,"ais523, Bucky, ChronosPhaenon, Clucky, Cpt_Koen, Darknight, flurie, Greytyphoon, Josh, Kevan, Klisz, laozi, Murphy, omd, scshunt, southpointingchariot, Soviet Brendon, Spitemaster, Winner"
2012-02,11,0,38,"Bucky, ChronosPhaenon, Clucky, Cpt_Koen, Greytyphoon, Josh, Kevan, Murphy, PBURNS, southpointingchariot, TheMerovingian"
2012-03,21,5,71,"Alda, Bucky, chinavibratingsieve, ChronosPhaenon, Clucky, Cpt_Koen, Doctor29, Florw, Greytyphoon, Josh, Kevan, Klisz, Loen, Murphy, omd, Patrick, scshunt, SlamCrackle, southpointingchariot, Soviet Brendon, Yonah"
2012-04,12,1,49,"Clucky, Cpt_Koen, Doctor29, Florw, Josh, Kevan, Murphy, Patrick, RobinHood3, scshunt, southpointingchariot, Yonah"
2012-05,20,6,30,"BobTHJ, Bucky, Clucky, Cpt_Koen, Darknight, Gidil, Josh, Kevan, Klisz, moonroof, MrBear, Murphy, nqeron, omd, PBURNS, quirck, southpointingchariot, Soviet Brendon, welknair, Yonah"
2012-06,30,6,87,"ais523, baeshra, BobTHJ, Bucky, Clucky, Cpt_Koen, Darknight, Henri, Hobbit, Ienpw III, Josh, Keba, Kevan, Klisz, LT3000, moonroof, MrBear, Murphy, nqeron, omd, Oranjer, patheros, Purplebeard, quirck, Rodney, scshunt, southpointingchariot, Soviet Brendon, Spice, welknair"
2012-07,11,3,51,"Clucky, Josh, Kevan, kops, moonroof, Murphy, quirck, scshunt, Spice, Vovix, Yngvi-Freyr"
2012-08,9,1,37,"Clucky, Cpt_Koen, GreyWithAnE, Josh, Murphy, quirck, scshunt, southpointingchariot, Spice"
2012-09,17,3,63,"90000, Bucky, Clucky, Ely, GreyWithAnE, Henri, IceFromHell, Josh, Kevan, Klisz, Murphy, quirck, Ragnar DanneskjÃƒÂ¶ld, scshunt, southpointingchariot, Spice, Tee"
2012-10,13,2,70,"Bucky, Clucky, Cpt_Koen, Henri, IceFromHell, Josh, Kevan, Larrytheturtle, Murphy, quirck, RaichuKFM, scshunt, spikebrennan"
